"Name","Live Bytes","Live Objects"
"java.lang.invoke.DirectMethodHandle$Constructor","111,600 B (0%)","2,325 (0%)"
"org.springframework.kafka.listener.KafkaMessageListenerContainer$ListenerConsumer","110,920 B (0%)","295 (0%)"
"org.springframework.beans.factory.support.RootBeanDefinition","110,176 B (0%)","626 (0%)"
"io.netty.util.internal.shaded.org.jctools.queues.MpscChunkedArrayQueue","109,792 B (0%)","188 (0%)"
"boolean[]","108,736 B (0%)","720 (0%)"
"java.lang.invoke.DirectMethodHandle","108,640 B (0%)","2,716 (0%)"
"java.lang.Integer","106,448 B (0%)","6,653 (0.1%)"
"java.lang.StackTraceElement","106,416 B (0%)","2,217 (0%)"
"java.util.HashMap$KeySet","105,152 B (0%)","6,572 (0.1%)"
"sun.reflect.generics.repository.MethodRepository","102,240 B (0%)","2,556 (0%)"
"java.util.Hashtable$Entry[]","99,000 B (0%)","14 (0%)"
"java.util.TreeMap$KeySet","95,728 B (0%)","5,983 (0.1%)"
"org.springframework.core.io.ClassPathResource","93,856 B (0%)","2,933 (0%)"
"java.util.TreeMap$EntrySet","92,256 B (0%)","5,766 (0.1%)"
"sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl","91,560 B (0%)","3,815 (0.1%)"
"java.lang.StackTraceElement[]","89,216 B (0%)","3,725 (0.1%)"
"sun.reflect.generics.factory.CoreReflectionFactory","87,672 B (0%)","3,653 (0.1%)"
"java.util.stream.MatchOps$1MatchSink","87,048 B (0%)","3,627 (0.1%)"
"java.util.stream.Collectors$$Lambda.0x00000070010eb880","86,616 B (0%)","3,609 (0.1%)"
"org.apache.kafka.clients.consumer.internals.SubscriptionState$$Lambda.0x0000007001b7e090","86,616 B (0%)","3,609 (0.1%)"
"org.apache.kafka.clients.consumer.internals.SubscriptionState$$Lambda.0x0000007001ba3010","86,616 B (0%)","3,609 (0.1%)"
"org.apache.kafka.clients.consumer.internals.SubscriptionState$$Lambda.0x0000007001aa1a08","86,616 B (0%)","3,609 (0.1%)"
"org.apache.kafka.clients.consumer.internals.OffsetFetcher$$Lambda.0x0000007001ba8230","86,616 B (0%)","3,609 (0.1%)"
"org.apache.kafka.common.protocol.types.Field","85,600 B (0%)","2,675 (0%)"
"org.apache.kafka.common.utils.ExponentialBackoff","84,960 B (0%)","1,770 (0%)"
"javax.management.ObjectName","84,192 B (0%)","2,631 (0%)"
"sun.util.locale.LocaleObjectCache$CacheEntry","83,680 B (0%)","2,092 (0%)"
"sun.nio.ch.SocketChannelImpl","83,440 B (0%)","745 (0%)"
"java.util.concurrent.locks.AbstractQueuedSynchronizer$ExclusiveNode","83,360 B (0%)","2,605 (0%)"
"org.springframework.core.annotation.AnnotationTypeMapping","83,304 B (0%)","1,157 (0%)"
"sun.reflect.generics.tree.MethodTypeSignature","82,528 B (0%)","2,579 (0%)"
"org.springframework.core.MethodParameter","82,368 B (0%)","1,287 (0%)"
"org.springframework.core.ResolvableType[]","79,376 B (0%)","3,447 (0.1%)"
"org.springframework.core.type.classreading.SimpleAnnotationMetadataReadingVisitor$Source","78,848 B (0%)","4,928 (0.1%)"
"io.netty.channel.nio.NioEventLoop","77,824 B (0%)","512 (0%)"
"com.fasterxml.jackson.databind.type.ClassKey","77,160 B (0%)","3,215 (0%)"
"java.util.concurrent.ConcurrentLinkedQueue$Node","76,872 B (0%)","3,203 (0%)"
"java.util.concurrent.ConcurrentLinkedDeque","74,544 B (0%)","3,106 (0%)"
"org.apache.kafka.common.protocol.types.BoundField","74,136 B (0%)","3,089 (0%)"
"org.springframework.kafka.listener.ContainerProperties","74,048 B (0%)","356 (0%)"
"java.lang.Thread","73,560 B (0%)","613 (0%)"
"java.lang.CharSequence[]","73,192 B (0%)","2,411 (0%)"
"org.apache.commons.logging.LogAdapter$Slf4jLocationAwareLog","72,576 B (0%)","3,024 (0%)"
"sun.nio.ch.KQueueSelectorImpl","71,280 B (0%)","810 (0%)"
"org.springframework.boot.context.properties.source.ConfigurationPropertyName$Elements","70,880 B (0%)","1,772 (0%)"
"java.util.concurrent.atomic.AtomicLong","70,776 B (0%)","2,949 (0%)"
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef","67,968 B (0%)","1,416 (0%)"
"java.util.Collections$UnmodifiableRandomAccessList","67,920 B (0%)","2,830 (0%)"
"io.netty.buffer.PoolSubpage[]","67,648 B (0%)","84 (0%)"
"sun.reflect.generics.tree.FormalTypeParameter[]","66,128 B (0%)","3,621 (0.1%)"
"org.apache.kafka.clients.ClusterConnectionStates$NodeConnectionState","65,568 B (0%)","683 (0%)"
"java.util.concurrent.CopyOnWriteArrayList","64,752 B (0%)","2,698 (0%)"
"com.sun.jmx.mbeanserver.NamedObject","62,808 B (0%)","2,617 (0%)"
"sun.reflect.generics.tree.TypeSignature[]","62,440 B (0%)","2,579 (0%)"
"io.netty.util.HashedWheelTimer$HashedWheelBucket","61,440 B (0%)","2,560 (0%)"
"java.util.ImmutableCollections$List12","61,368 B (0%)","2,557 (0%)"
"org.apache.kafka.clients.consumer.internals.ConsumerCoordinator","61,360 B (0%)","295 (0%)"
"sun.reflect.generics.scope.MethodScope","61,344 B (0%)","2,556 (0%)"
"org.springframework.core.convert.converter.GenericConverter$ConvertiblePair","60,984 B (0%)","2,541 (0%)"
"org.apache.kafka.common.network.KafkaChannel","60,104 B (0%)","683 (0%)"
"java.util.regex.Pattern","60,016 B (0%)","682 (0%)"
"sun.security.util.ObjectIdentifier","59,712 B (0%)","1,866 (0%)"
"org.apache.kafka.clients.consumer.internals.Fetcher$$Lambda.0x0000007001b84e10","58,688 B (0%)","3,668 (0.1%)"
"org.apache.kafka.clients.consumer.internals.Fetcher$$Lambda.0x0000007001b83b08","58,688 B (0%)","3,668 (0.1%)"
"java.lang.invoke.LambdaForm$Name[]","58,192 B (0%)","1,042 (0%)"
"org.apache.kafka.clients.consumer.internals.AbstractFetch$$Lambda.0x0000007001b7ce70","57,744 B (0%)","3,609 (0.1%)"
"org.apache.kafka.clients.consumer.internals.AbstractFetch$$Lambda.0x0000007001b88cf0","57,744 B (0%)","3,609 (0.1%)"
"org.apache.kafka.clients.consumer.internals.OffsetFetcherUtils$$Lambda.0x0000007001ba3b50","57,744 B (0%)","3,609 (0.1%)"
"java.util.stream.Collectors$$Lambda.0x00000070010ebaa8","57,744 B (0%)","3,609 (0.1%)"
"org.apache.kafka.clients.consumer.internals.OffsetFetcherUtils$$Lambda.0x0000007001ba6208","57,744 B (0%)","3,609 (0.1%)"
"org.apache.kafka.clients.consumer.internals.LegacyKafkaConsumer$$Lambda.0x0000007001b86990","57,744 B (0%)","3,609 (0.1%)"
"java.lang.ref.SoftReference[]","57,000 B (0%)","750 (0%)"
"org.springframework.boot.context.properties.source.ConfigurationPropertyName","56,704 B (0%)","1,772 (0%)"
"java.lang.Class$AnnotationData","56,304 B (0%)","2,346 (0%)"
"org.apache.kafka.common.metrics.JmxReporter$KafkaMbean","54,960 B (0%)","2,290 (0%)"
"ch.qos.logback.classic.Logger","54,720 B (0%)","1,140 (0%)"
"java.nio.HeapByteBuffer","54,544 B (0%)","974 (0%)"
"org.springframework.core.ResolvableType$DefaultVariableResolver","53,280 B (0%)","3,330 (0.1%)"
"java.util.concurrent.ConcurrentLinkedQueue","52,656 B (0%)","2,194 (0%)"
"java.util.concurrent.ConcurrentHashMap$KeySetView","52,560 B (0%)","2,190 (0%)"
